"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""What is fiscal policy, and why does it matter?""","https://cointelegraph.com/news/what-is-fiscal-policy-and-why-does-it-matter","2023-03-25 12:07:00","Cointelegraph By    Guneet Kaur","Cointelegraph","United States Of America","Business","English","Fiscal policy shapes economies through government spending, taxation and borrowing.","https://images.cointelegraph.com/images/840_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDMvYzA0NDU2YjQtYTQ5YS00NTRjLWFkNWQtNzk0YWJlNTc2NzdjLmpwZw==.jpg",""
"""Intel co-founder Gordon Moore has passed away - Engadget""","https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LmVuZ2FkZ2V0LmNvbS9pbnRlbC1jby1mb3VuZGVyLWdvcmRvbi1tb29yZS1oYXMtcGFzc2VkLWF3YXktMDczMTQ1NjQ3Lmh0bWzSAVlodHRwczovL3d3dy5lbmdhZGdldC5jb20vYW1wL2ludGVsLWNvLWZvdW5kZXItZ29yZG9uLW1vb3JlLWhhcy1wYXNzZWQtYXdheS0wNzMxNDU2NDcuaHRtbA?oc=5","2023-03-25 07:34:23","","Google News","United States Of America","Business","English","Intel co-founder Gordon Moore has passed away  EngadgetGordon E. Moore, Intel Co-Founder Behind Moore’s Law, Dies at 94  The New York TimesIntel co-founder Gordon Moore, author of 'Moore's Law' that helped drive computer revolution, dies at 94  CNNGordon Moore, Intel Co-Founder, Dies at 94  Investor Relations :: Intel Corporation (INTC)Gordon Moore, Silicon Valley pioneer who co-founded Intel, dies at 94  The Washington PostView Full Coverage on Google News","",""
"""NFT investor accidentally burns $135K CryptoPunk trying to borrow money""","https://cointelegraph.com/news/nft-investor-accidentally-burns-135k-cryptopunk-trying-to-borrow-money","2023-03-25 07:04:00","Cointelegraph By  Arijit Sarkar","Cointelegraph","United States Of America","Business","English","While going through the unfamiliar process of wrapping NFTs, Riley accidentally sent the asset to a burn address, permanently deleting the NFT from circulation.","https://images.cointelegraph.com/images/840_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDMvMGRkZDExZWMtYmViNS00MjVhLWIwMjQtMjQyMTFmZmYzNWQxLmpwZw==.jpg",""
"""India’s Lucrative Cricket Women’s Premier League Headed For Spectacular Finish Amid Sell-Out Crowd""","https://www.forbes.com/sites/tristanlavalette/2023/03/25/indias-lucrative-cricket-womens-premier-league-headed-for-spectacular-finish-amid-sell-out-crowd/","2023-03-25 06:43:28","Tristan Lavalette, Contributor","Forbes","United States Of America","Business","English","About 50,000 fans are expected to witness history for the first-ever Women's Premier League final to cap a momentous tournament.","https://imageio.forbes.com/specials-images/imageserve/641e80e080e57591be8a9f01/0x0.jpg?width=960",""
"""Video Game Writer Chris Avellone’s Accusers Issue Public Statement Retracting Accusations Of Sexual Assault""","https://www.forbes.com/sites/erikkain/2023/03/25/video-game-writer-chris-avellones-accusers-issue-public-statement-retracting-accusations-of-sexual-assault/","2023-03-25 06:39:04","Erik Kain, Senior Contributor","Forbes","United States Of America","Business","English","Video game writer Chris Avellone has reached a confidential settlement with two women who accused him of sexual assault. The accusers have issued a public statement retracting all claims of sexual assault.","https://imageio.forbes.com/specials-images/imageserve/641e8e99bcc461207e4ff606/0x0.jpg?width=960",""
"""Credit Suisse Shock Makes China’s 5% GDP Target Harder""","https://www.forbes.com/sites/williampesek/2023/03/24/credit-suisse-shock-makes-chinas-5-gdp-target-harder/","2023-03-25 03:35:09","William Pesek, Senior Contributor","Forbes","United States Of America","Business","English","Headwinds from the West are making Beijing’s 5% gross domestic product target look less and less attainable.","https://imageio.forbes.com/specials-images/imageserve/641d2e0e99555b10a8580d4a/0x0.jpg?width=960",""
"""'US has left a vacuum that other countries are eager to fill': Coinbase""","https://cointelegraph.com/news/us-has-left-a-vacuum-that-other-countries-are-eager-to-fill-coinbase","2023-03-25 02:39:13","Cointelegraph By Brian Quarmby","Cointelegraph","United States Of America","Business","English","While the U.S. government opts for “regulation by enforcement,” other countries are fostering “vibrant” crypto ecosystems due to progressive regulation, argues Coinbase’s Daniel Seifert.","https://images.cointelegraph.com/images/840_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDMvNjlhZmM1YTMtMmQ1MC00YjlkLWExZGQtZWRhMmIyZDMwOTVmLmpwZw==.jpg",""
"""Today’s Wordle #644 Hints, Clues And Solution For Saturday, March 25th""","https://www.forbes.com/sites/erikkain/2023/03/24/todays-wordle-644-hints-clues-and-solution-for-saturday-march-25th/","2023-03-25 02:30:49","Erik Kain, Senior Contributor","Forbes","United States Of America","Business","English","How to solve today's Wordle with helpful hints and clues.","https://imageio.forbes.com/specials-images/imageserve/61ecc0349f2c7d8e24ccad24/0x0.jpg?width=960",""
"""Binion’s removes ‘No Color Policy’ sign. But what does it really mean?""","https://www.reviewjournal.com/business/casinos-gaming/binions-removes-no-color-policy-sign-but-what-does-it-really-mean-2750462/","2023-03-25 02:21:03","Jeff Burbank","Las-vegas Review Journal","United States Of America","Business","English","Binion’s “no color” policy is meant to discourage bikers from displaying club apparel, insignias there.","",""
"""WWE SmackDown Results: Winners And Grades On March 24, 2023""","https://www.forbes.com/sites/alfredkonuwa/2023/03/24/wwe-smackdown-results-winners-and-grades-on-march-24-2023/","2023-03-25 01:57:14","Alfred Konuwa, Contributor","Forbes","United States Of America","Business","English","WWE SmackDown results as Cody Rhodes faces off with Paul Heyman.","https://imageio.forbes.com/specials-images/imageserve/641e395d562e65f211eb477c/0x0.jpg?width=960",""
