"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Senate ethics panel admonishes Lindsey Graham over campaign solicitations""","https://www.cbsnews.com/news/lindsey-graham-admonished-by-senate-ethics/","2023-03-24 04:02:35","","Cbs News","United States Of America","Politics","English","The ethics panel found that the South Carolina Republican improperly solicited contributions from inside a federal building.","https://assets2.cbsnewsstatic.com/hub/i/r/2022/10/21/b519a681-556e-4ecf-9331-f08a790a203e/thumbnail/60x60/ff64b2046e851986471d6dea884793c4/ap22294780334170.jpg",""
"""Chart of the Day: Central Banks Race to Purchase Gold – What Do They Know?""","https://rightwirereport.com/2023/03/24/chart-of-the-day-central-banks-race-to-purchase-gold-what-do-they-know/","2023-03-24 04:01:16","Tom Williams","Right Wire Report The Truth Be Told","United States Of America","Politics","English","Did you know that nearly one-fifth of all the gold ever mined is held by central banks? As Visual Capitalist’s Govind Bhutada details, besides investors and jewelry consumers, central banks are a major source of gold demand. In fact, in 2022, central banks snapped up gold at the fastest pace since 1967. However, the record gold purchases of 2022 are in stark […]","",""
"""Kids to require parental consent to access social media apps under new Utah law""","https://www.cbsnews.com/news/utah-law-social-media-apps-parental-consent/","2023-03-24 03:52:06","","Cbs News","United States Of America","Politics","English","Utah becomes the first state to enact a law attempting to limit teens' access to social media sites.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/14/9ac27f87-93ad-4f07-a56e-ac93ba858bf3/thumbnail/60x60/d1de24ea3f4fba4902683b422ee08096/gettyimages-845752622.jpg",""
"""House intel panel chairman says ban or sale of TikTok appears inevitable""","https://www.cbsnews.com/news/tiktok-congress-hearing-gop-commitee-sale-ban-inevitable/","2023-03-24 02:38:00","","Cbs News","United States Of America","Politics","English","House Intelligence Committee Chairman Mike Turner told CBS News a divestiture, ban or something to that effect will need to happen.","https://assets2.cbsnewsstatic.com/hub/i/r/2023/03/23/53a3bb84-5c7f-43ba-90eb-ed90996504da/thumbnail/60x60/fb614f97aa71945c5a84c859ba13c40f/tiktok-screen-logo-1920-getty-1249133655.jpg",""
"""Proud Boys trial disrupted after defense says its witness was paid FBI informant""","https://www.cbsnews.com/news/proud-boys-trial-defense-witness-paid-fbi-informant/","2023-03-24 01:07:00","","Cbs News","United States Of America","Politics","English","The judge overseeing the Proud Boys trial says he will not delay trial because of the revelation.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/01/9a79bed4-f9a3-48ac-bd29-5b0035d589e4/thumbnail/60x60/f081f64727fa0aca1884f2c059e0336f/cbsn-fusion-government-watchdog-report-finds-that-agencies-didnt-share-threat-information-ahead-of-jan-6-thumbnail-1757522-640x360.jpg",""
"""State Department facing ""unprecedented demand"" for passports, Blinken says""","https://www.cbsnews.com/news/unprecedented-demand-for-passports-antony-blinken-state-department/","2023-03-24 00:10:15","","Cbs News","United States Of America","Politics","English","A record number of passports — 22 million — were issued in 2022. The State Department is ""on track to break"" that record in 2023.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/23/91d1dc10-8ba6-4f8b-bc06-3637550c12dd/thumbnail/60x60/f33565f79ca615823d8c30c3aab7dd94/passports1.jpg",""
"""House GOP fails to override Biden veto of ESG investing ban""","https://www.wfaa.com/article/news/nation-world/house-republicans-fail-to-override-biden-first-veto-esg-investing/507-b0287e06-34a5-4590-a1fd-e47904362cc0","2023-03-23 23:51:07","","Wfaa","United States Of America","Politics","English","The standoff was a first test of the strength of the new Republican majority in the House as it confronts the Democratic president in the White House.","https://media.tegna-media.com/assets/CCT/images/dc955a5f-6736-4c9f-9863-3649bb097308/dc955a5f-6736-4c9f-9863-3649bb097308_750x422.jpg",""
"""Mark Ridley-Thomas Corruption Trial Almost In The Hands Of The Jury""","https://laist.com/news/politics/mark-ridley-thomas-corruption-trial-now-in-the-hands-of-the-jury","2023-03-23 23:27:53","","Laist","United States Of America","Politics","English","The prosecution and defense made their closing arguments Thursday. The prosecution will conclude its rebuttal argument Friday and then the case will go to the jury.","",""
"""Mother of Ashli Babbitt meets with House Speaker Kevin McCarthy""","https://www.cbsnews.com/news/ashli-babbitt-mother-meets-kevin-mccarthy/","2023-03-23 23:12:00","","Cbs News","United States Of America","Politics","English","She met Thursday with House Speaker Kevin McCarthy, in his Capitol office suite — steps away from where her daughter was shot.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/9792b24f-23cc-485e-82f7-c49246f05b73/thumbnail/60x60/3f0ebc8a7031d07cd54ce962a09b8392/image.jpg",""
"""Manhattan grand jury investigating Trump unlikely to decide on any possible charges this week, sources say""","https://www.cbsnews.com/news/manhattan-grand-jury-donald-trump-meeting-unlikely-today-2023-03-23/","2023-03-23 22:53:00","","Cbs News","United States Of America","Politics","English","Any vote on a possible indictment against Trump would be pushed into next week.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/8213a448-454f-4e11-b9cb-120c7cafc1af/thumbnail/60x60/d4f5579bdb302739ac40e421daf2168c/ap23081448411954.jpg",""
