"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Ariana Grande Begged Scooter Braun Not To Make Her Super Vulnerable Song About Mac Miller’s Death Public And Fans Are Mad On Her Behalf After He Did Anyway""","https://www.buzzfeednews.com/article/stephaniesoteriou/ariana-grande-scooter-braun-mac-miller-tribute-song","2023-03-24 14:31:54","Stephanie Soteriou","Buzz Feed News Reporting To You","United States Of America","Entertainment","English","Ariana’s 2019 song is so intimate that some fans have admitted to skipping it because listening makes them feel as though they’re invading her privacy.View Entire Post ›","https://img.buzzfeed.com/buzzfeed-static/static/2023-03/24/13/asset/bf6edf6267f4/sub-buzz-636-1679665466-1.jpg?resize=625:476",""
"""Selena Gomez Just Revealed That Hailey Bieber Has Reached Out To Her After Receiving Death Threats Amid Their Feud""","https://www.buzzfeednews.com/article/stephaniesoteriou/hailey-bieber-reached-out-selena-gomez-death-threats","2023-03-24 13:21:29","Stephanie Soteriou","Buzz Feed News Reporting To You","United States Of America","Entertainment","English","Hailey personally reached out to Selena when she received backlash after their yearslong feud reignited in February.View Entire Post ›","https://img.buzzfeed.com/buzzfeed-static/static/2023-03/24/12/asset/35b11d4f8180/sub-buzz-2870-1679662621-1.jpg?resize=625:417",""
"""Gerard Piqué Is Being Called Out For Trying To “Justify Cheating” After His Split From Shakira By Saying He’s “Always Done” What He “Wanted” And Is “Faithful” To Himself""","https://www.buzzfeednews.com/article/ellendurney/gerard-pique-called-out-over-shakira-cheating-comments","2023-03-24 13:01:32","Ellen Durney","Buzz Feed News Reporting To You","United States Of America","Entertainment","English","“One of the most Narcissistic statements ever put forth by man.”View Entire Post ›","https://img.buzzfeed.com/buzzfeed-static/static/2023-03/24/12/asset/a7c3901e1cda/sub-buzz-460-1679661113-1.jpg?resize=625:425",""
"""“Love Is Blind” Season 4 Puts A Better Cast Through The Same Horrible Process""","https://www.buzzfeednews.com/article/venessawong/love-is-blind-season-4-review","2023-03-24 12:59:18","","Buzzfeed","Canada","Entertainment","English","Though the concept of the show continues to be absurd, I can't stop watching.View Entire Post ›","https://img.buzzfeed.com/buzzfeed-static/static/2023-03/23/20/campaign_images/27c039e71788/love-is-blind-season-4-puts-a-better-cast-through-3-1701-1679602714-2_dblbig.jpg",""
"""Kim Kardashian Won Praise For Drinking Guinness On Her Relatable St. Patrick’s Day Pub Crawl But A Behind-The-Scenes Photo Has Exposed The Sad Truth""","https://www.buzzfeednews.com/article/stephaniesoteriou/kim-kardashian-instagram-reality-viral-guinness-photo","2023-03-24 09:24:39","Stephanie Soteriou","Buzz Feed News Reporting To You","United States Of America","Entertainment","English","Kim indulging in a Guinness at a traditional London pub last week left many thinking that she’s just like us, but a behind-the-scenes photo has now revealed the bleak truth.View Entire Post ›","https://img.buzzfeed.com/buzzfeed-static/static/2023-03/23/12/asset/c6ea7ccde4f4/sub-buzz-496-1679574531-1.jpg?resize=625:417",""
"""Superman & Lois: Elizabeth Tulloch reveals Lois Lane’s Biggest Challenge Ever""","https://markmeets.com/entertainment/superman-lois-elizabeth-tulloch-reveals-lois-lanes-biggest-challenge-ever/?utm_source=rss&utm_medium=rss&utm_campaign=superman-lois-elizabeth-tulloch-reveals-lois-lanes-biggest-challenge-ever","2023-03-24 09:07:00","Sola James","Markmeets","United States Of America","Entertainment","English","Superman & Lois Season 3 is setting viewers ablaze with the most emotional scenes of the entire series. It’s a drastic shift The post Superman & Lois: Elizabeth Tulloch reveals Lois Lane’s Biggest Challenge Ever first appeared on MarkMeets | Entertainment, Music, Movie, TV & London Film Premiere News.","",""
"""Shania Twain Taps Producer Malibu Babie for Club-Ready Remix of ‘Giddy Up!’""","https://www.rollingstone.com/music/music-news/shania-twain-malibu-babie-giddy-up-remix-1234703130/","2023-03-24 08:48:17","Emily Zemler","Rolling Stone","United States Of America","Entertainment","English","Song comes off the singer's recent LP, Queen of Me","",""
"""The Incredible Body Transformation Christian Bale Does for His Roles""","https://markmeets.com/entertainment/the-incredible-body-transformation-christian-bale-does-for-his-roles/?utm_source=rss&utm_medium=rss&utm_campaign=the-incredible-body-transformation-christian-bale-does-for-his-roles","2023-03-24 08:45:00","Lee Clarke","Markmeets","United States Of America","Entertainment","English","One of Hollywood’s most talented and revered actors is Christian Bale. He created a respectable reputation with the movies he performed in The post The Incredible Body Transformation Christian Bale Does for His Roles first appeared on MarkMeets | Entertainment, Music, Movie, TV & London Film Premiere News.","",""
"""Zendaya Thanks Euphoria Co-Star’s Performance In The Last Of Us""","https://markmeets.com/entertainment/zendaya-thanks-euphoria-co-stars-performance-in-the-last-of-us/?utm_source=rss&utm_medium=rss&utm_campaign=zendaya-thanks-euphoria-co-stars-performance-in-the-last-of-us","2023-03-24 06:42:00","Adam Regan","Markmeets","United States Of America","Entertainment","English","Zendaya shouts out her Euphoria co-star Storm Reid’s outstanding performance in The Last of Us episode 7. Titled “Left Behind,” the flashback The post Zendaya Thanks Euphoria Co-Star’s Performance In The Last Of Us first appeared on MarkMeets | Entertainment, Music, Movie, TV & London Film Premiere News.","",""
"""Rosalia and Rauw Alejandro Announce Their Engagement in Sweet Video for ‘Beso’""","https://www.rollingstone.com/music/music-latin/rosalia-engaged-rauw-alejandro-beso-video-1234703104/","2023-03-24 04:38:11","Julyssa Lopez","Rolling Stone","United States Of America","Entertainment","English","The couple shared personal clips from their three-year relationship, including a tearful video of Rosalia wearing a giant diamond ring","",""
