"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Ron DeSantis Admits He 'Kind Of Likes' Donald Trump's Insulting Name For Him""","https://www.huffpost.com/entry/ron-desantis-donald-trump-nickname_n_641abb74e4b0a3902d33a316","2023-03-22 08:59:54","","Huffpost","United States Of America","Politics","English","Piers Morgan asked the Florida governor which of the former president's mocking monikers he preferred.","",""
"""Ex-RNC Chair Michael Steele Shows How Donald Trump 'Punks Everybody'""","https://www.huffpost.com/entry/michael-steele-donald-trump-play_n_641a9e88e4b00c3e6076c433","2023-03-22 07:11:46","","Huffpost","United States Of America","Politics","English","""But we really shouldn’t be surprised, should we?” asked Steele, who broke down the former president's playbook on his expected arrest.","",""
"""Rep. Jim Jordan’s Judiciary Tweet Backing Donald Trump Gets A Brutal Rewrite""","https://www.huffpost.com/entry/jim-jordan-judiciary-tweet-flames_n_641a97a6e4b00c3e6076c138","2023-03-22 06:17:35","","Huffpost","United States Of America","Politics","English","The flame emoji-filled post defending the former president became the butt of jokes on Twitter for three reasons.","",""
"""Trump Lawyer Torn To Shreds As He Flubs His Way Through Ari Melber Interview""","https://www.huffpost.com/entry/trump-lawyer-ari-melber-interview-drew-findling_n_641a7ec6e4b0bc5cb65340fd","2023-03-22 06:08:50","","Huffpost","United States Of America","Politics","English","Drew Findling had a hard time producing actual evidence that Trump didn't break the law in Georgia.","",""
"""Hastings veterans home getting new leadership after complaints""","https://www.cbsnews.com/minnesota/video/hastings-veterans-home-getting-new-leadership-after-complaints-1/","2023-03-22 03:25:00","CBS Minnesota","Minnesota Cbs Local","United States Of America","Politics","English","The man in charge of helping Minnesota's veterans faced tough questions Tuesday.","https://assets2.cbsnewsstatic.com/hub/i/r/2023/03/22/860d23ad-6e65-4812-b972-00098ac66022/thumbnail/1024x576/80c29581bb12ffafc3228abcc6c9335e/c72a78791f8076bc25286ed4c78747f2.jpg",""
"""Ex-Trump Official Says She’s ‘Definitely Worried’ Following His Weekend Screeds""","https://www.huffpost.com/entry/sarah-matthews-definitely-worried-trump-protests_n_641a6022e4b0fef15246dc9c","2023-03-22 03:18:33","","Huffpost","United States Of America","Politics","English","Sarah Matthews, who served as deputy White House press secretary, said the former president has ""learned nothing"" since the U.S. Capitol riot.","",""
"""Minnesota budget targets now include $3 billion for tax cuts""","https://www.cbsnews.com/minnesota/news/minnesota-budget-targets-now-include-3-billion-for-tax-cuts/","2023-03-22 02:16:10","CBS Minnesota","Minnesota Cbs Local","United States Of America","Politics","English","Democratic legislative leaders and Gov. Tim Walz agreed Tuesday on broad budget targets that add up to nearly $17.9 billion in new spending, including $3 billion for tax cuts, but the details of where the money will go remain to be negotiated.","https://assets2.cbsnewsstatic.com/hub/i/r/2023/01/07/a04bdddd-d78f-4e73-bb7a-3c116b788f8c/thumbnail/1024x576/3a3c635b5b78e98c647320c5d776826c/b0ef9261c6be34cf49335c84bcead85f.jpg",""
"""Republicans Are Convinced An Indictment Would Help Donald Trump""","https://www.huffpost.com/entry/donald-trump-indictment-republicans_n_641a3c37e4b01ea5cd90d75a","2023-03-22 01:58:17","","Huffpost","United States Of America","Politics","English","Democrats, however, are skeptical. “It’s hard to make 'convicted of a crime' a good look,” Sen. Sheldon Whitehouse said.","",""
"""Ron DeSantis Goes After Trump In Interview With Piers Morgan""","https://www.huffpost.com/entry/ron-desantis-trump-piers-morgan_n_641a5468e4b0bc5cb653285c","2023-03-22 01:47:06","","Huffpost","United States Of America","Politics","English","“We have to agree that there’s a certain reality to the world we live in,"" the Florida governor and possible 2024 rival said.","",""
"""Security ramps up ahead of possible Trump arrest""","https://www.cbsnews.com/video/security-ramps-up-ahead-of-possible-trump-arrest/","2023-03-22 00:05:14","","Cbs News","United States Of America","Politics","English","Former President Donald Trump was not indicted Tuesday, as he had predicted would happen, but security around the Manhattan courthouse where he would likely turn himself in if he were to be arrested has been beefed up. The grand jury probing alleged hush money payments has nearly completed its work, sources told CBS News. Robert Costa has the latest.","https://assets1.cbsnewsstatic.com/hub/i/r/2023/03/21/b68fa04d-3703-400d-a907-6967f4f81116/thumbnail/60x60/acf58bfa0a1536a1d9ef01a56dd83736/cbsn-fusion-security-ramps-up-ahead-of-possible-trump-arrest-thumbnail-1815598-640x360.jpg",""
