"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Pennsylvania Sen. John Fetterman expected back 'soon,' but no certain timeline yet""","https://6abc.com/john-fetterman-pa-politics-senator-clinical-depression/13002567/","2023-03-24 08:51:49","AP","6abc","United States Of America","Health","English","Fetterman's office said that he is expected to return soon to the chamber, although Democratic leaders are giving no timeline five weeks after he sought inpatient treatment for clinical depression.","https://cdn.abcotvs.com/dip/images/12826543_021623-wpvi-fetterman-health-4-video-vid.jpg","https://vcl.abcotv.net/video/wpvi/032423-wpvi-fetterman-health-update-4-video-vid.mp4"
"""CDC report finds more children in U.S. diagnosed with autism due to better screening""","https://abc13.com/autism-diagnosis-cdc-developmental-disabilities-childhood/12999180/","2023-03-24 02:41:48","CNNWire","Abc 13","United States Of America","Health","English","In 2020, about 1 in 36 children had been diagnosed with autism by age 8, the CDC says. That's up from 1 in 150 children in 2000.","https://cdn.abcotvs.com/dip/images/12999771_autism-cleanTN.jpg","https://vcl.abcotv.net/video/kabc/032323-kabc-5pm-autism-report-vid.mp4"
"""CDC report finds more children in U.S. diagnosed with autism from boost in early detection""","https://abc7news.com/autism-diagnosis-cdc-developmental-disabilities-childhood/12999180/","2023-03-23 23:41:59","CNNWire","Abc7","United States Of America","Health","English","In 2020, about 1 in 36 children had been diagnosed with autism by age 8, the CDC says. That's up from 1 in 150 children in 2000.","https://cdn.abcotvs.com/dip/images/12999099_032323-kabc-md-autism-report-vid.jpg","https://vcl.abcotv.net/video/kabc/032323-kabc-md-autism-report-vid.mp4"
"""CDC report finds more children in U.S. diagnosed with autism from boost in early detection""","https://6abc.com/autism-diagnosis-cdc-developmental-disabilities-childhood/12999180/","2023-03-23 23:41:59","CNNWire","6abc","United States Of America","Health","English","In 2020, about 1 in 36 children had been diagnosed with autism by age 8, the CDC says. That's up from 1 in 150 children in 2000.","https://cdn.abcotvs.com/dip/images/12999099_032323-kabc-md-autism-report-vid.jpg","https://vcl.abcotv.net/video/kabc/032323-kabc-md-autism-report-vid.mp4"
"""Minnesota House set to debate and pass ""trans refuge"" legislation""","https://www.cbsnews.com/minnesota/news/minnesota-house-set-to-debate-and-pass-trans-refuge-legislation/","2023-03-23 23:35:54","Caroline Cummings","Minnesota Cbs Local","United States Of America","Health","English","""We have a responsibility to create more space for our community to live their fullest, authentic lives without fear of violence, rejection, abuse or political attack,"" said Rep. Leigh Finke.","https://assets3.cbsnewsstatic.com/hub/i/r/2023/03/23/ca39c93f-6ab4-4cd9-8825-925ca533480b/thumbnail/1024x576/407ad3ca4de440a410efe7ceaea98c2e/trans-refuge-sot-5p-wcco32md.jpg",""
"""Yes, there was just a tornado near Los Angeles. Is climate change to blame?""","https://www.vox.com/science/2023/3/23/23653712/los-angeles-tornado-montebello-california","2023-03-23 18:50:00","Li Zhou","Vox","United States Of America","Science","English","","",""
"""How the US can stop the spread of Candida auris, a drug-resistant fungus""","https://www.vox.com/politics/2023/3/23/23653504/candida-auris-fungus-cdc-vaccine-prevention","2023-03-23 18:10:00","Nicole Narea","Vox","United States Of America","Science","English","","",""
"""The card that’s a sign of eternal friendship | Brief letters""","https://www.theguardian.com/lifeandstyle/2023/mar/23/the-card-thats-a-sign-of-eternal-friendship","2023-03-23 18:09:12","Guardian Staff","The Guardian","Australia","Health","English","Birthday greetings | Bridget Phillipson | Women’s football’s nasty turn | Saveloy source | The joy of a post-hangover dayRe your letters on friendship (Letters, 19 March), 60 years ago, I popped in to a card shop and paid 1s 9d for a McTavish’s eternal birthday card. Inside was a list of numbers from one to 99. I ticked 18 and gave it to my pal Eddie. In October of that year, he ticked 19 and sent the card to me. Every year since then we have, without fail, delivered the card to each other.Dr Roger WaterfallMarlesford, Suffolk• I was surprised and disappointed to read Zoe Williams’ comment in her interview with Bridget Phillipson (‘I grew up at the margins’: Bridget Phillipson on teachers’ strikes, Ofsted, Brexit and Corbyn, 21 March) that she was “still weirdly well turned-out, for a Labour MP”. This is 2023! Have we really not moved on from judging women and their politics from the way they dress?Elizabeth BrownCorsham, Wiltshire Continue reading...","https://i.guim.co.uk/img/media/aa2bcd94c4f80f7d589549eb4d7e761d7f98343c/0_63_3216_1930/master/3216.jpg?width=460&quality=85&auto=format&fit=max&s=006d0f3e4197a93e23833f21fcb19c81",""
"""Boosting caffeine intake could reduce diabetes risk, study finds""","https://www.foxnews.com/health/boosting-caffeine-intake-reduce-diabetes-risk-study-finds","2023-03-23 15:53:01","","Fox News","United States Of America","Health","English","The Fox News Health Newsletter brings you trending and important stories about health warnings, drug shortages, mental health issues and more in this weekly recap.","",""
"""Invasive group A strep on the rise in parts of the US: What to know""","https://6abc.com/invasive-strep-a-outbreak-cdc-group-symptoms/12996553/","2023-03-23 14:57:43","ABCNews","6abc","United States Of America","Health","English","Five children have died of invasive Strep A so far this year in Illinois.","https://cdn.abcotvs.com/dip/images/12996321_032323-cc-GettyImages-little-girl-strep-test-img.jpeg","https://vcl.abcotv.net/video/ccg/032323-cc-gma-strep-a-warning-VO-vid.mp4"
