"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""郭台銘力邀侯柯談 柯文哲：最近喝咖啡會心悸""","https://news.ltn.com.tw/news/politics/breakingnews/4405994","2023-08-24 04:06:36","","Ltn","Taiwan","Politics","Chinese","隨著2024總統大選戰況愈來愈激烈，各界相當關注國民黨總統參選人侯友宜、民眾黨總統參選人柯文哲，與鴻海集團創辦人郭台銘整合的進度。郭台銘上週更是力邀侯、柯二人與他喝咖啡談談。對...…","",""
"""新竹棒球場美方報告出爐 楊玲宜狠批高虹安「像放羊的孩子」""","https://news.ltn.com.tw/news/politics/breakingnews/4405937","2023-08-24 04:00:47","","Ltn","Taiwan","Politics","Chinese","新竹市府今天公布美方專家的新竹棒球場檢測報告結果，民進黨市議員楊玲宜狠批，並稱市長高虹安「狼來了」喊久了，也是會變放羊的小孩。楊玲宜說，從去年7月底棒球場停賽後，前市府團隊即開...…","",""
"""大選提早進「垃圾時間」？綠營憂大洗牌：不排除整合成1對1""","https://news.ltn.com.tw/news/politics/breakingnews/4405938","2023-08-24 03:58:58","","Ltn","Taiwan","Politics","Chinese","2024大選藍綠白駁火，近期多份民調顯示，民進黨總統參選人賴清德支持度突破4成，有評論認為選戰提早進入「垃圾時間」。不過，立法院民進黨團今（24日）示警，明年投票日前都不知鹿死...…","",""
"""吳崢揭「有一種惡老闆叫高虹安」 說明助理費爭議始末""","https://news.ltn.com.tw/news/politics/breakingnews/4405939","2023-08-24 03:38:11","","Ltn","Taiwan","Politics","Chinese","新竹市長高虹安14日遭台北地檢署以貪污罪嫌起訴，檢察官起訴書內容也在日前曝光，新北市中和區立委參選人吳崢今天在臉書PO出2千字長文，揭高虹安「惡老闆」罪狀，並指出台灣民眾黨從黨...…","",""
"""嗆柯文哲找黑道入黨 林楚茵：白色最容易被染色""","https://news.ltn.com.tw/news/politics/breakingnews/4405914","2023-08-24 03:32:44","","Ltn","Taiwan","Politics","Chinese","民眾黨總統參選人、黨主席柯文哲昨拋出盼以最開放的態度和各黨領袖對話，國民黨則表示樂見，只要下架民進黨的理念一致，都是很好的安排。對此，民進黨立委林楚茵強調，柯文哲應該先和全民對...…","",""
"""行政院拍板明年度總預算 國防預算增314億元、達4406億元""","https://news.ltn.com.tw/news/politics/breakingnews/4405924","2023-08-24 03:31:21","","Ltn","Taiwan","Politics","Chinese","行政院會今天拍板明年中央政府總預算，院長陳建仁親自主持記者會對外說明。總預算歲入編列2兆7092億元、歲出2兆8818億元，其中國防預算編列4406億元，比去年增加314億元，...…","",""
"""違反安理會決議！ 北韓發射偵查衛星 外交部譴責促「棄暗投明」""","https://news.ltn.com.tw/news/politics/breakingnews/4405917","2023-08-24 03:28:19","","Ltn","Taiwan","Politics","Chinese","北韓於台灣時間今（24）晨2時50分左右，從平安北道東倉里地區向南發射1枚偵察衛星火箭。該枚火箭雖發射失敗落海，但屬於使用洲際彈道飛彈（ICBM）技術，已違反聯合國安理會相關決...…","",""
"""侯友宜9/14訪美 會見國會議員、爭取僑界認同""","https://news.ltn.com.tw/news/politics/breakingnews/4405923","2023-08-24 03:24:38","","Ltn","Taiwan","Politics","Chinese","總統大選愈趨白熱化，國民黨總統參選人侯友宜競選辦公室今證實9月14日至21日出訪美國，預計造訪紐約、華盛頓、舊金山，會晤美國參、眾議員，並舉行僑宴爭取台僑支持，此外也將在智庫發...…","",""
"""2024國防預算創新高 綠營：國家安全不能光靠嘴巴""","https://news.ltn.com.tw/news/politics/breakingnews/4405910","2023-08-24 03:19:01","","Ltn","Taiwan","Politics","Chinese","113年度中央政府總預算案籌編完成，國防總體預算加上基金與特別預算，將達到6068億元，創歷史新高，占GDP比率可望達2.5%。立法院民進黨團今（24）日表示，國家安全攸關全體...…","",""
"""柯文哲稱賴清德當選「外資跑光」 王定宇：亂噴口水還想領導國家""","https://news.ltn.com.tw/news/politics/breakingnews/4405827","2023-08-24 03:03:56","","Ltn","Taiwan","Politics","Chinese","民眾黨主席柯文哲指稱若是其他總統候選人當選總統，就會引發緊張導致「外資跑光」，對此民進黨立委王定宇表示，隨意亂噴口水的人，還想領導一整個國家！ 柯文哲日前在專訪中表示，未來...…","",""
