"TITLE","ARTICLE LINK","PUBLISHED DATE (GMT)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""「暗黑版潤娥」現身信義區！ 只穿內衣逛街太兇""","https://www.ettoday.net/news/20230823/2566551.htm?from=rss","2023-08-22 16:37:00","","Ettoday","Taiwan","Entertainment","Chinese","南韓正妹DJ MIU因臉蛋神似少女時代成員潤娥，被封為「暗黑版潤娥」，她經常在個人社群帳號貼出大尺度清涼照，火辣身材以及甜美臉蛋讓她在Instagram吸引超過184萬粉絲，近日，她來台參加音樂節活動，趁空還到信義區逛街，只穿著粉色運動內衣搭配牛仔短褲，清涼打扮相當吸睛。 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190061.jpg",""
"""林煐岷酒駕退團2年回歸！公司「誤用AB6IX帳號發文」網傻眼：故意的？""","https://www.ettoday.net/news/20230823/2566562.htm?from=rss","2023-08-22 16:36:00","","Ettoday","Taiwan","Entertainment","Chinese","南韓男歌手林煐岷2020年因酒駕遭吊銷駕照，同年宣布退出團體AB6IX並入伍服役，2022年退伍後SOLO出道，展開個人音樂活動，近日他將帶著新專輯回歸，怎料經紀公司卻疑似手滑選錯帳號，使用AB6IX的官方Instagram發布，馬上就在韓網引起熱烈討論。 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190063.jpg",""
"""50萬女星認酒駕：我後悔不已！ 「有叫代駕卻投機」道歉還原過程""","https://www.ettoday.net/news/20230823/2566559.htm?from=rss","2023-08-22 16:16:00","","Ettoday","Taiwan","Entertainment","Chinese","28歲女星蘿拉（本名李佳玲）以模特兒出道，外型火辣、個性活潑，曾和沈玉琳主持節目打開知名度，近年也跨足經營YouTube頻道，社群累積超過52萬粉絲追蹤。未料日前爆出她7月21日因違停被抓包酒駕，22日晚間對此出面道歉，並還原當天狀況。 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190048.jpg",""
"""被勸瘦下來「就可以再嫁」 歐陽靖曝身材傷痛：沒那麼容易走出來""","https://www.ettoday.net/news/20230822/2566555.htm?from=rss","2023-08-22 15:49:00","","Ettoday","Taiwan","Entertainment","Chinese","藝人歐陽靖跟日籍前夫離婚後，帶著兒子在台灣當單親媽媽，經常上網寫文分享育兒生活。她透露，當媽之後最常遇到的尷尬場面，就是被鄰居恭喜「又懷二胎了嗎」，或是被網友勸「瘦下來有機會當模特兒」、「瘦身成功就可以再嫁了」，雖是善意關心，卻讓她哭笑不得。 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190035.jpg",""
"""劉芒翻車3個月掉10萬粉絲！ 新片「不開濾鏡了」真面目曝光""","https://www.ettoday.net/news/20230822/2566546.htm?from=rss","2023-08-22 15:39:00","","Ettoday","Taiwan","Entertainment","Chinese","YouTuber劉芒因「拜月老」系列影片快速走紅，未料5月遭合作過攝影師及多位廠商爆料工作態度不佳、還過分要求修圖，人設大翻車引發熱議。她道歉後如今重新出發，22日上線的新片中，被網友發現她終於拿掉濾鏡，罕見以真實狀態出鏡。 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190034.jpg",""
"""偏袒FIFTY FIFTY！ 韓觀眾發起抵制《想知道真相》要求道歉、更正""","https://www.ettoday.net/news/20230822/2566554.htm?from=rss","2023-08-22 15:37:00","","Ettoday","Taiwan","Entertainment","Chinese","南韓女團FIFTY FIFTY與經紀公司ATTRAKT爆出合約糾紛，要求解約，至今為止由於未能提出明確有利的證據，而遭到網友一面倒撻伐。事件驚動頗具公信力的時事節目《想知道真相》調查，沒想到節目播出以後，卻因為疑似站在袒護FIFTY FIFTY的立場，還試圖帶風向，導致觀眾群起抗議，甚至揚言要抵制該節目廣告主的產品。 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190031.jpg",""
"""賴慧如甜曝「點頭二婚」關鍵原因！ 驚吐身體亮紅燈：以為罹癌""","https://www.ettoday.net/news/20230822/2566532.htm?from=rss","2023-08-22 14:47:00","","Ettoday","Taiwan","Entertainment","Chinese","賴慧如月初與國標舞男友劉家銘二婚，今（22日）舉辦新專輯活動，適逢七夕情人節，她透露晚上將與老公、公婆一起吃大餐慶祝，她透露老公不是浪漫的人，更笑虧求婚應該是老公至今做過最浪漫的事，但他們私下相處相當甜蜜，老公每天早上出門前都會親她一下，至於房事？她笑讚老公是自己遇過最和諧的伴侶，更羞喊：「有了他都忘記其他人了。」 《詳全文...》","https://cdn2.ettoday.net/images/7190/c7190010.jpg",""
"""閻奕格清唱《小美人魚》經典OST！ 小S起雞皮尖叫：妳是人類嗎""","https://www.ettoday.net/news/20230822/2566517.htm?from=rss","2023-08-22 14:44:00","","Ettoday","Taiwan","Entertainment","Chinese","實力派歌手閻奕格13年前擔任第六屆《超級星光大道》踢館賽魔王，成為不敗魔王後，再於同年參加《超級星光大道：星光傳奇賽》並奪冠，日前她上節目參加「星光同學會」，重現當年「閻羅王」氣勢外，還現場清唱電影《小美人魚》中文主題曲，聽得主持人和來賓都雞皮疙瘩狂掉。 《詳全文...》","https://cdn2.ettoday.net/images/7189/c7189989.jpg",""
"""李妍瑾認有新歡！男友七夕長信告白「現在覺得是場夢」：珍惜每一天""","https://www.ettoday.net/news/20230822/2566518.htm?from=rss","2023-08-22 14:05:00","","Ettoday","Taiwan","Entertainment","Chinese","藝人李妍瑾在去年跟前AV導演圤智雨閃電交往分手，單身大半年，昨（21日）出席活動，害羞坦承身邊已有新對象，但因為是圈外人，暫時不願多談。不過，她22日還是在臉書分享，男友在七夕寫了封感人長信，記錄這些年眼裡看到的她，令她忍不住開心PO出：「希望這次大家能祝福。」 《詳全文...》","https://cdn2.ettoday.net/images/7189/c7189973.jpg",""
"""河北彩花感謝台灣卻附五星旗？ 公司曝「被假冒」澄清：絕沒搞錯""","https://www.ettoday.net/news/20230822/2566515.htm?from=rss","2023-08-22 13:47:00","","Ettoday","Taiwan","Entertainment","Chinese","被譽為「三上悠亞接班人」的知名AV女優河北彩花，月初訪台出席TRE台北國際城人展，事後在微博發文感謝台灣卻放上五星旗引發爭議，據傳是經紀公司不想得罪中國。不過日前河北彩花與其經紀公司公開澄清，指媒體報導的微博帳號並非本人開設，強調絕對沒有搞錯台灣國旗。 《詳全文...》","https://cdn2.ettoday.net/images/7189/c7189952.jpg",""
